integral_mean,integral_std,hist_mean,hist_std,hist_skew,edge_density,texture_var,mean_intensity,std_intensity,min_intensity,max_intensity,no,filename,label,face_detected
809575.8237783763,702137.9032027529,181.0546875,1013.3428955078125,15801841664.0,0.0725782092772384,3911.16888019606,73.91322545846818,70.43157190714707,0.0,255.0,1,40.png,1,1
28550028.83822067,26470774.500727735,3041.11328125,2833.530029296875,50116526080.0,0.011678494589126875,345.0831202442779,147.78715005940722,55.274876741415795,0.0,255.0,2,1.png,1,1
76721795.95210226,77185552.6537534,14884.0,15429.08203125,3168002899968.0,0.01982151555361462,186.60190052299518,87.84483127855415,42.33711227578605,0.0,255.0,3,75.JPG,1,1
135186481.22257614,123131597.67241633,17496.0,14365.6826171875,8926739300352.0,0.0035599654921124827,136.91146659209596,123.36840585883917,64.82441422226458,0.0,255.0,4,5.JPG,1,1
4129031.7508247555,4603516.325192628,1630.140625,3681.887451171875,203747803136.0,0.018182863825015095,901.7184887278512,49.631377661053016,37.51439857153418,0.0,255.0,5,93.JPG,1,1
5880490.221094553,5976624.248662614,1060.13671875,1765.216552734375,52431925248.0,0.028987269478067023,1117.8027381185977,95.43134545588534,51.820393449552,0.0,255.0,6,19.png,1,1
4694857.605406535,4467135.654178874,1359.765625,2756.388671875,90693361664.0,0.02869003160011491,1190.8213297929801,57.98000574547544,44.40564084579302,0.0,255.0,7,91.JPG,1,1
153698375.39061588,131401813.49581693,17496.0,25285.431640625,36564780449792.0,0.004244050425811614,189.21746956578147,131.2841283364769,65.528514518195,0.0,255.0,8,2.JPG,1,1
1479749.2792039078,1500392.8391783542,298.5234375,1464.06787109375,45675335680.0,0.05275967653293554,2628.8234056211004,95.37480045013216,74.78027566490621,0.0,255.0,9,43.png,1,1
45683381.47736614,38448684.68005617,5301.66015625,4017.150634765625,40565514240.0,0.01320341137246956,338.8001973890117,128.21199064267162,59.76939899642585,0.0,255.0,10,80.JPG,1,1
2896779.2508686725,2853979.3784558154,590.53515625,1610.1036376953125,55343226880.0,0.0719355457510071,2176.9802309346064,82.2481131389034,59.38038392266087,0.0,255.0,11,37.png,1,1
79619296.64668828,63022815.37582714,7965.5625,8473.5087890625,1472546734080.0,0.011347676325432134,253.5173725641607,135.5388253340552,80.59196558107828,0.0,255.0,12,63.JPG,1,1
4779563.115498077,4773897.871532214,1068.47265625,1835.635498046875,53464526848.0,0.04369554964921452,1593.9925257560863,75.8897155329051,47.360808118064625,0.0,255.0,13,60.JPG,1,2
202246576.999758,169702364.03371865,24904.78515625,23428.427734375,13698928214016.0,0.002039486324870111,65.48378173755239,114.3911467503186,46.73364397259739,0.0,255.0,14,98.JPG,1,1
36437369.686332166,32221507.14909868,5909.765625,6582.4208984375,327442366464.0,0.007882212968471148,270.9921990317573,91.53683257320378,46.1064207409267,0.0,255.0,15,71.JPG,1,1
3735291.4762547896,3985193.91022076,918.84375,1744.1846923828125,53665067008.0,0.09660578852498045,1453.2481088424436,85.2188594701221,51.41533167142834,0.0,255.0,16,35.png,1,1
3433080.2341954024,3334379.39120619,752.375,1718.1304931640625,54863351808.0,0.031914562219637815,1561.588676686201,83.85140284931052,55.1095953985252,0.0,255.0,17,15.png,1,1
14327873.796831798,15818821.782313252,3400.34765625,3876.789794921875,146118737920.0,0.011502730074705137,415.69978708249187,93.4364512360294,56.41095531330255,0.0,255.0,18,96.JPG,1,1
2203886.683508859,2366455.0104480456,656.640625,1842.8489990234375,57560252416.0,0.03063057703747769,1609.0991194356495,68.98534800713861,40.2058491866174,0.0,255.0,19,57.JPG,1,1
12893850.89282071,14136469.285502449,2280.0625,3391.757080078125,160340410368.0,0.01573421781201173,520.850589464928,120.34252247745401,60.50742233230883,0.0,255.0,20,94.JPG,1,1
