integral_mean,integral_std,hist_mean,hist_std,hist_skew,edge_density,texture_var,mean_intensity,std_intensity,min_intensity,max_intensity,no,filename,label,face_detected
5528460.307868968,5794886.590981655,1008.0625,1819.816650390625,54245822464.0,0.02693517887035774,1474.4206292889774,102.41206444912889,64.1753274401437,0.0,255.0,1,83.JPG,1,1
7363981.536805653,7990108.845344786,1190.25,1767.272216796875,52321927168.0,0.0277744959042218,1162.0333038462409,126.34099650808653,63.67824031296435,0.0,255.0,2,81.JPG,1,1
3230032.26425371,3929963.7633112627,756.765625,1840.2080078125,57477017600.0,0.04849998967646026,2150.3910839616447,93.7557915057915,74.061128306372,0.0,255.0,3,36.png,1,2
5405219.644691989,5322819.893270079,766.59765625,1865.648681640625,58127138816.0,0.030466397281005253,1472.1949408452583,116.49367385311517,65.86501024830827,0.0,255.0,4,55.JPG,1,1
12338870.527312275,11885964.687180538,3451.5625,8041.42236328125,2488716754944.0,0.011622906292440019,510.29860343751966,57.50024671797193,33.28470407734331,0.0,255.0,5,99.JPG,1,1
1635149.8667283466,1726064.21363154,360.703125,1384.0635986328125,39038607360.0,0.056963396144682696,2224.593796517837,84.43196881091617,62.645686873942566,0.0,255.0,6,38.png,1,1
1658113.623850287,1616761.0387521193,340.83984375,1416.911865234375,42669232128.0,0.06374419804022692,2652.975845790448,82.73094951578706,63.50965546149953,0.0,255.0,7,11.png,1,1
2967049.0102668586,2993953.531968284,583.6328125,1601.5963134765625,55330246656.0,0.048905695736563816,1922.6170398362426,91.72408807978047,70.21071795232194,0.0,255.0,8,29.png,1,1
23459986.51956315,21774798.38138406,3444.22265625,3983.64453125,128891142144.0,0.013550771729379248,520.7515656310179,110.7414034598246,56.80878034751046,0.0,255.0,9,74.JPG,1,3
1149266.893832367,1119081.9567080177,220.4296875,1365.2205810546875,39672143872.0,0.06048201311359206,3404.4484260737586,93.70694665957824,85.61739676012091,0.0,248.0,10,30.png,1,1
7031789.933410881,7174575.832596717,1838.265625,4229.70751953125,378006372352.0,0.019468928762675416,726.9628832032488,63.18537981623303,41.61129247436671,0.0,255.0,11,89.JPG,1,1
4612292.098909916,4205371.887095612,1076.66015625,2425.7626953125,81245855744.0,0.022574149659863946,1371.9111676925597,65.22210612244898,55.68259745509867,0.0,255.0,12,95.JPG,1,1
131719784.43117376,115237139.05502439,17496.0,13990.513671875,1063535509504.0,0.0023509837962962963,146.04493213254275,113.9954900405807,47.45844372051492,0.0,255.0,13,16.JPG,1,1
9712455.460771838,10113175.66960773,1327.69140625,2809.05322265625,171956731904.0,0.020962726066451106,770.2186212248998,143.0598283557279,64.21591311987662,0.0,255.0,14,67.JPG,1,1
443720.32561535254,455508.0429081316,111.03125,703.7001342773438,5256240128.0,0.11543062200956938,6084.773006011893,73.2566844919786,75.44258548701623,0.0,255.0,15,41.png,1,1
1082437.315274278,1060200.8772778534,320.19140625,1366.466552734375,37308841984.0,0.036757798679988775,1996.8241039593345,59.36597982163989,46.471559851614174,0.0,226.0,16,45.png,1,0
11710423.85439397,11224812.838042613,1963.59765625,2411.479736328125,54579015680.0,0.014490302995338992,507.072285741549,106.35616822597234,46.930008008201256,0.0,255.0,17,52.JPG,1,1
4246197.001370909,5015420.876823643,1101.41015625,2451.72216796875,76077604864.0,0.026705821017800335,1207.1419492959585,71.13016339139101,58.1015155114002,0.0,255.0,18,73.JPG,1,1
153698375.39061588,131401813.49581693,17496.0,25285.431640625,36564780449792.0,0.004244050425811614,189.21746956578147,131.2841283364769,65.528514518195,0.0,255.0,19,2.JPG,1,1
2856663.3792206715,2447759.88651216,467.4140625,1528.616455078125,51526430720.0,0.0742783599926457,2007.779281655233,87.80989988132845,68.34373679468852,0.0,255.0,20,22.png,1,1
