no,filename,kelas_asli,hasil_klasifikasi,expected_count,detected_count,classification,status,process_time
1,76.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,343
2,86.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,399
3,37.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,64
4,35.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,97
5,96.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,160
6,43.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,51
7,7.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,646
8,61.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,192
9,24.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,48
10,87.JPG,Ada Wajah,Tidak Ada,1,0,FN,Salah,97
11,39.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,55
12,16.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,728
13,70.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,276
14,60.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,88
15,22.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,43
16,20.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,519
17,88.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,215
18,97.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,113
19,53.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,144
20,93.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,78
21,48.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,49
22,25.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,29
23,63.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,288
24,69.JPG,Ada Wajah,Ada Wajah,1,4,TP,Benar,481
25,64.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,50
26,58.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,53
27,68.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,120
28,12.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,52
29,13.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,99
30,100.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,153
