no,filename,kelas_asli,hasil_klasifikasi,expected_count,detected_count,classification,status,process_time
1,32.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,75
2,9.png,Ada Wajah,Tidak Ada,1,0,FN,Salah,11
3,96.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,94
4,73.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,46
5,4.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,249
6,74.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,90
7,36.png,Ada Wajah,Ada Wajah,1,2,TP,Benar,33
8,12.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,43
9,85.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,48
10,62.JPG,Ada Wajah,Ada Wajah,1,4,TP,Benar,266
11,31.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,43
12,51.JPG,Ada Wajah,Tidak Ada,1,0,FN,Salah,32
13,30.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,17
14,6.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,48
15,1.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,67
16,39.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,24
17,20.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,270
18,50.png,Ada Wajah,Ada Wajah,1,2,TP,Benar,52
19,84.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,43
20,63.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,115
21,21.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,32
22,66.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,38
23,3.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,189
24,100.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,166
25,35.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,43
26,48.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,24
27,15.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,24
28,53.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,54
29,67.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,39
30,37.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,28
