no,filename,kelas_asli,hasil_klasifikasi,expected_count,detected_count,classification,status,process_time
1,45.png,Ada Wajah,Tidak Ada,1,0,FN,Salah,16
2,20.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,620
3,52.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,127
4,39.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,64
5,76.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,337
6,16.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,701
7,97.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,95
8,71.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,245
9,47.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,54
10,42.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,42
11,95.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,76
12,80.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,208
13,38.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,59
14,35.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,89
15,4.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,306
16,7.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,475
17,77.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,143
18,25.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,26
19,10.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,674
20,82.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,82
21,69.JPG,Ada Wajah,Ada Wajah,1,4,TP,Benar,564
22,41.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,19
23,29.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,55
24,11.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,38
25,74.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,130
26,12.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,63
27,64.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,48
28,79.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,94
29,17.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,310
30,46.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,21
