integral_mean,integral_std,hist_mean,hist_std,hist_skew,edge_density,texture_var,mean_intensity,std_intensity,min_intensity,max_intensity,no,filename,label,face_detected
115929161.15346667,109673209.91674128,13340.25,12203.005859375,6548783366144.0,0.008846582710219073,156.06870562491306,150.83606590018928,60.52511551831796,0.0,255.0,1,62.JPG,1,4
1229881.4312674617,1328364.7106307868,288.68359375,1335.2501220703125,36016664576.0,0.06769684586552643,2824.0158033865455,85.65334289541697,70.29053275360462,0.0,255.0,2,39.png,1,1
1082437.315274278,1060200.8772778534,320.19140625,1366.466552734375,37308841984.0,0.036757798679988775,1996.8241039593345,59.36597982163989,46.471559851614174,0.0,226.0,3,45.png,1,0
131719784.43117376,115237139.05502439,17496.0,13990.513671875,1063535509504.0,0.0023509837962962963,146.04493213254275,113.9954900405807,47.45844372051492,0.0,255.0,4,16.JPG,1,1
151120862.55932343,134466473.18882427,17496.0,15476.6279296875,5547595137024.0,0.004480711662665752,158.0947398074507,123.83046236461192,53.52693919171298,0.0,255.0,5,17.JPG,1,2
773429.4335084847,845395.6085583823,224.859375,1171.93310546875,24298838016.0,0.07725314432631505,3773.7395165846124,65.17662080466958,62.39829934131704,0.0,255.0,6,42.png,1,1
5200144.178744986,4729897.598090506,1487.06640625,3194.4912109375,147484999680.0,0.010825109209879981,414.0790619096625,61.75477620840108,35.93243564647128,0.0,255.0,7,92.JPG,1,0
76721795.95210226,77185552.6537534,14884.0,15429.08203125,3168002899968.0,0.01982151555361462,186.60190052299518,87.84483127855415,42.33711227578605,0.0,255.0,8,75.JPG,1,1
2967049.0102668586,2993953.531968284,583.6328125,1601.5963134765625,55330246656.0,0.048905695736563816,1922.6170398362426,91.72408807978047,70.21071795232194,0.0,255.0,9,29.png,1,1
7096095.691054895,6662440.710897951,988.31640625,1676.2703857421875,52708597760.0,0.04887177926476924,1249.037311989833,117.52535285306057,62.26411461946163,0.0,255.0,10,59.JPG,1,1
3230032.26425371,3929963.7633112627,756.765625,1840.2080078125,57477017600.0,0.04849998967646026,2150.3910839616447,93.7557915057915,74.061128306372,0.0,255.0,11,36.png,1,2
5405219.644691989,5322819.893270079,766.59765625,1865.648681640625,58127138816.0,0.030466397281005253,1472.1949408452583,116.49367385311517,65.86501024830827,0.0,255.0,12,55.JPG,1,1
77850150.50147924,66424266.45901467,7214.37890625,9431.80078125,3797851045888.0,0.010429475423700823,278.14806187083195,159.49959634648903,66.48406322137977,0.0,255.0,13,100.JPG,1,1
2067155.3170418672,2159764.7128735175,374.96875,1551.3529052734375,56591618048.0,0.04052421035086257,1971.173925989821,102.84677889824152,76.2930555671857,0.0,255.0,14,46.png,1,1
149903725.48600194,127105372.99592102,17496.0,13225.568359375,1006777532416.0,0.005217933741998171,153.54793360468747,128.83410047296525,60.768951888381,0.0,255.0,15,4.JPG,1,2
2203886.683508859,2366455.0104480456,656.640625,1842.8489990234375,57560252416.0,0.03063057703747769,1609.0991194356495,68.98534800713861,40.2058491866174,0.0,255.0,16,57.JPG,1,1
4694857.605406535,4467135.654178874,1359.765625,2756.388671875,90693361664.0,0.02869003160011491,1190.8213297929801,57.98000574547544,44.40564084579302,0.0,255.0,17,91.JPG,1,1
46466549.69178113,44822572.24717427,7999.06640625,8718.326171875,865632911360.0,0.006532988957207409,168.00922904403694,110.52977520325858,67.63565703452689,0.0,255.0,18,76.JPG,1,1
4779563.115498077,4773897.871532214,1068.47265625,1835.635498046875,53464526848.0,0.04369554964921452,1593.9925257560863,75.8897155329051,47.360808118064625,0.0,255.0,19,60.JPG,1,2
30898921.159717806,34640489.60281407,5292.5625,4538.427734375,74798792704.0,0.009686352310435634,390.7947539680049,113.35988813901584,64.92472497632457,0.0,255.0,20,88.JPG,1,1
