no,filename,kelas_asli,hasil_klasifikasi,expected_count,detected_count,classification,status,process_time
1,15.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,26
2,78.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,211
3,74.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,92
4,4.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,240
5,44.png,Ada Wajah,Tidak Ada,1,0,FN,Salah,10
6,75.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,419
7,79.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,79
8,56.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,38
9,31.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,42
10,20.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,281
11,27.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,22
12,29.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,36
13,99.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,90
14,32.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,39
15,89.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,56
16,38.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,32
17,55.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,35
18,59.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,42
19,23.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,22
20,33.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,28
21,92.JPG,Ada Wajah,Tidak Ada,1,0,FN,Salah,28
22,46.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,22
23,84.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,43
24,83.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,48
25,62.JPG,Ada Wajah,Ada Wajah,1,4,TP,Benar,271
26,63.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,166
27,18.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,19
28,2.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,234
29,77.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,83
30,13.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,88
