no,filename,kelas_asli,hasil_klasifikasi,expected_count,detected_count,classification,status,process_time
1,1.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,70
2,38.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,28
3,44.png,Ada Wajah,Tidak Ada,1,0,FN,Salah,11
4,31.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,47
5,48.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,28
6,62.JPG,Ada Wajah,Ada Wajah,1,4,TP,Benar,269
7,63.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,144
8,83.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,47
9,99.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,91
10,74.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,92
11,86.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,183
12,67.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,35
13,73.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,44
14,85.JPG,Ada Wajah,Ada Wajah,1,2,TP,Benar,49
15,76.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,150
16,96.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,71
17,46.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,21
18,13.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,89
19,41.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,14
20,53.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,56
