no,filename,kelas_asli,hasil_klasifikasi,expected_count,detected_count,classification,status,process_time
1,83.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,52
2,81.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,53
3,36.png,Ada Wajah,Ada Wajah,1,2,TP,Benar,32
4,55.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,36
5,99.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,85
6,38.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,30
7,11.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,24
8,29.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,37
9,74.JPG,Ada Wajah,Ada Wajah,1,3,TP,Benar,94
10,30.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,18
11,89.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,61
12,95.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,40
13,16.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,276
14,67.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,35
15,41.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,13
16,45.png,Ada Wajah,Tidak Ada,1,0,FN,Salah,8
17,52.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,61
18,73.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,47
19,2.JPG,Ada Wajah,Ada Wajah,1,1,TP,Benar,223
20,22.png,Ada Wajah,Ada Wajah,1,1,TP,Benar,20
