integral_mean,integral_std,hist_mean,hist_std,hist_skew,edge_density,texture_var,mean_intensity,std_intensity,min_intensity,max_intensity,no,filename,label,face_detected
28550028.83822067,26470774.500727735,3041.11328125,2833.530029296875,50116526080.0,0.011678494589126875,345.0831202442779,147.78715005940722,55.274876741415795,0.0,255.0,1,1.png,1,1
1635149.8667283466,1726064.21363154,360.703125,1384.0635986328125,39038607360.0,0.056963396144682696,2224.593796517837,84.43196881091617,62.645686873942566,0.0,255.0,2,38.png,1,1
978035.0535850403,973459.117572331,238.90625,1087.0062255859375,19254740992.0,0.03654349247874428,2433.3137188104324,67.52591563113145,53.93303640038284,0.0,226.0,3,44.png,1,0
6130492.692673855,6012846.42298391,874.35546875,1582.2305908203125,53464981504.0,0.05742176156543883,1328.1128108421597,122.17130475573525,69.21944804609113,0.0,255.0,4,31.png,1,1
842550.4903580786,894020.0187192585,221.765625,1135.995849609375,22182707200.0,0.05944831959416614,2964.0897698638673,71.15187064045656,61.74317073301446,0.0,226.0,5,48.png,1,1
115930399.82958002,109673610.40003403,13340.25,12203.0869140625,6548804861952.0,0.008847753977624108,156.25875957348973,150.836597948408,60.52464046893464,0.0,255.0,6,62.JPG,1,4
79619296.64668828,63022815.37582714,7965.5625,8473.5087890625,1472546734080.0,0.011347676325432134,253.5173725641607,135.5388253340552,80.59196558107828,0.0,255.0,7,63.JPG,1,1
5528460.307868968,5794886.590981655,1008.0625,1819.816650390625,54245822464.0,0.02693517887035774,1474.4206292889774,102.41206444912889,64.1753274401437,0.0,255.0,8,83.JPG,1,1
12338870.527312275,11885964.687180538,3451.5625,8041.42236328125,2488716754944.0,0.011622906292440019,510.29860343751966,57.50024671797193,33.28470407734331,0.0,255.0,9,99.JPG,1,1
23459986.51956315,21774798.38138406,3444.22265625,3983.64453125,128891142144.0,0.013550771729379248,520.7515656310179,110.7414034598246,56.80878034751046,0.0,255.0,10,74.JPG,1,3
64452829.01332334,65066144.7823904,9788.62890625,19302.84765625,56108714557440.0,0.006468762183799841,133.34399727143594,130.35061928122116,61.611178237968325,0.0,255.0,11,86.JPG,1,1
9712455.460771838,10113175.66960773,1327.69140625,2809.05322265625,171956731904.0,0.020962726066451106,770.2186212248998,143.0598283557279,64.21591311987662,0.0,255.0,12,67.JPG,1,1
4246197.001370909,5015420.876823643,1101.41015625,2451.72216796875,76077604864.0,0.026705821017800335,1207.1419492959585,71.13016339139101,58.1015155114002,0.0,255.0,13,73.JPG,1,1
4269920.478027676,4741875.769222726,1028.00390625,1874.7451171875,55317393408.0,0.028084614829254204,1562.1161794013224,92.93696066026014,53.62602364530263,0.0,255.0,14,85.JPG,1,2
46466549.69178113,44822572.24717427,7999.06640625,8718.326171875,865632911360.0,0.006532988957207409,168.00922904403694,110.52977520325858,67.63565703452689,0.0,255.0,15,76.JPG,1,1
14327873.796831798,15818821.782313252,3400.34765625,3876.789794921875,146118737920.0,0.011502730074705137,415.69978708249187,93.4364512360294,56.41095531330255,0.0,255.0,16,96.JPG,1,1
2067155.3170418672,2159764.7128735175,374.96875,1551.3529052734375,56591618048.0,0.04052421035086257,1971.173925989821,102.84677889824152,76.2930555671857,0.0,255.0,17,46.png,1,1
20030396.712524187,20483581.588160522,3721.0,4645.51904296875,182548480000.0,0.009961409903251815,422.2886550795571,93.62976077499329,43.23729545222999,0.0,255.0,18,13.JPG,1,1
443720.32561535254,455508.0429081316,111.03125,703.7001342773438,5256240128.0,0.11543062200956938,6084.773006011893,73.2566844919786,75.44258548701623,0.0,255.0,19,41.png,1,1
24623867.54057239,20872644.542292885,3122.015625,3799.33544921875,134871105536.0,0.014014633975446552,365.0368038955791,122.99094760496274,66.28951095519004,0.0,255.0,20,53.JPG,1,1
